Team,HGS,HGC,AGS,AGC,HG,AG,AvgHGS,AvgHGC,AvgAGS,AvgAGC
Liverpool,40,12,26,9,15,14,2.666666667,0.8,1.857142857,0.642857143
West Ham,23,26,12,24,14,15,1.642857143,1.857142857,0.8,1.6
Bournemouth,17,21,12,26,14,15,1.214285714,1.5,0.8,1.733333333
Burnley,20,19,14,21,15,14,1.333333333,1.266666667,1,1.5
Crystal Palace,12,13,14,19,15,14,0.8,0.866666667,1,1.357142857
Watford,16,17,11,27,14,15,1.142857143,1.214285714,0.733333333,1.8
Tottenham,27,15,20,25,14,15,1.928571429,1.071428571,1.333333333,1.666666667
Leicester,30,15,28,13,15,14,2,1,2,0.928571429
Newcastle,12,12,13,29,14,15,0.857142857,0.857142857,0.866666667,1.933333333
Manchester United,29,12,15,18,15,14,1.933333333,0.8,1.071428571,1.285714286
Arsenal,26,20,14,16,15,13,1.733333333,1.333333333,1.076923077,1.230769231
Aston Villa,18,24,16,32,13,15,1.384615385,1.846153846,1.066666667,2.133333333
Brighton,17,15,15,25,14,15,1.214285714,1.071428571,1,1.666666667
Everton,19,15,18,31,14,15,1.357142857,1.071428571,1.2,2.066666667
Norwich,19,26,6,26,14,15,1.357142857,1.857142857,0.4,1.733333333
Southampton,16,31,19,21,15,14,1.066666667,2.066666667,1.357142857,1.5
Manchester City,33,12,35,19,13,15,2.538461538,0.923076923,2.333333333,1.266666667
Sheffield United,17,13,13,12,15,13,1.133333333,0.866666667,1,0.923076923
Chelsea,22,15,29,24,15,14,1.466666667,1,2.071428571,1.714285714
Wolves,21,17,20,17,15,14,1.4,1.133333333,1.428571429,1.214285714
